"","rotX","rotY","node"
"1",24.0700000000001,40,1
"2",24.0700000000001,90,2
"3",24.0700000000001,190,3
"4",24.0700000000001,240,4
"5",24.0700000000001,340,5
"6",24.0700000000001,390,6
"7",24.0700000000001,490,7
"8",24.0700000000001,540,8
"9",24.0700000000001,640,9
"10",24.0700000000001,690,10
"11",24.0700000000001,790,11
"12",24.0700000000001,840,12
"13",24.0700000000001,940,13
"14",24.0700000000001,990,14
"15",24.0700000000001,1090,15
"16",24.0700000000001,1140,16
"17",24.0700000000001,1240,17
"18",24.0700000000001,1290,18
"19",24.0700000000001,1390,19
"20",24.0700000000001,1440,20
"21",24.0700000000001,1540,21
"22",24.0700000000001,1590,22
"23",24.0700000000001,1690,23
"24",24.0700000000001,1740,24
"25",24.0700000000001,1840,25
"26",24.0700000000001,1890,26
"27",67.37,15,27
"28",67.37,115,28
"29",67.37,165,29
"30",67.37,265,30
"31",67.37,315,31
"32",67.37,415,32
"33",67.37,465,33
"34",67.37,565,34
"35",67.37,615,35
"36",67.37,715,36
"37",67.37,765,37
"38",67.37,865,38
"39",67.37,915,39
"40",67.37,1015,40
"41",67.37,1065,41
"42",67.37,1165,42
"43",67.37,1215,43
"44",67.37,1315,44
"45",67.37,1365,45
"46",67.37,1465,46
"47",67.37,1515,47
"48",67.37,1615,48
"49",67.37,1665,49
"50",67.37,1765,50
"51",67.37,1815,51
"52",67.37,1915,52
"53",67.37,1965,53
"54",110.67,40,54
"55",110.67,90,55
"56",110.67,190,56
"57",110.67,240,57
"58",110.67,340,58
"59",110.67,390,59
"60",110.67,490,60
"61",110.67,540,61
"62",110.67,640,62
"63",110.67,690,63
"64",110.67,790,64
"65",110.67,840,65
"66",110.67,940,66
"67",110.67,990,67
"68",110.67,1090,68
"69",110.67,1140,69
"70",110.67,1240,70
"71",110.67,1290,71
"72",110.67,1390,72
"73",110.67,1440,73
"74",110.67,1540,74
"75",110.67,1590,75
"76",110.67,1690,76
"77",110.67,1740,77
"78",110.67,1840,78
"79",110.67,1890,79
"80",110.67,1990,80
"81",153.97,15,81
"82",153.97,115,82
"83",153.97,165,83
"84",153.97,265,84
"85",153.97,315,85
"86",153.97,415,86
"87",153.97,465,87
"88",153.97,565,88
"89",153.97,615,89
"90",153.97,715,90
"91",153.97,765,91
"92",153.97,865,92
"93",153.97,915,93
"94",153.97,1015,94
"95",153.97,1065,95
"96",153.97,1165,96
"97",153.97,1215,97
"98",153.97,1315,98
"99",153.97,1365,99
"100",153.97,1465,100
"101",153.97,1515,101
"102",153.97,1615,102
"103",153.97,1665,103
"104",153.97,1765,104
"105",153.97,1815,105
"106",153.97,1915,106
"107",153.97,1965,107
"108",197.28,40,108
"109",197.28,90,109
"110",197.28,190,110
"111",197.28,240,111
"112",197.28,340,112
"113",197.28,390,113
"114",197.28,490,114
"115",197.28,540,115
"116",197.28,640,116
"117",197.28,690,117
"118",197.28,790,118
"119",197.28,840,119
"120",197.28,940,120
"121",197.28,990,121
"122",197.28,1090,122
