X, Y, Z
615.0,-346.410161514,0.0
840.0,-303.108891325,0.0
-510.0,909.326673974,0.0
-360.0,-736.121593217,0.0
140.0,562.91651246,0.0
-360.0,476.313972081,0.0
540.0,-303.108891325,0.0
-435.0,692.820323028,0.0
315.0,-866.025403784,0.0
-85.0,433.012701892,0.0
440.0,-909.326673974,0.0
-435.0,-779.422863406,0.0
915.0,-173.205080757,0.0
-235.0,-519.615242271,0.0
-910.0,43.3012701892,0.0
390.0,-129.903810568,0.0
-960.0,-129.903810568,0.0
765.0,-952.627944163,0.0
315.0,173.205080757,0.0
215.0,173.205080757,0.0
-310.0,303.108891325,0.0
-85.0,259.807621135,0.0
-360.0,822.724133595,0.0
-660.0,-736.121593217,0.0
-360.0,-129.903810568,0.0
365.0,433.012701892,0.0
-760.0,822.724133595,0.0
-585.0,433.012701892,0.0
515.0,-3.41e-13,0.0
-985.0,86.6025403784,0.0
-585.0,259.807621135,0.0
-760.0,43.3012701892,0.0
515.0,-259.807621135,0.0
690.0,129.903810568,0.0
465.0,433.012701892,0.0
-385.0,779.422863406,0.0
-535.0,-346.410161514,0.0
890.0,43.3012701892,0.0
65.0,-86.6025403784,0.0
-535.0,433.012701892,0.0
-510.0,476.313972081,0.0
-585.0,173.205080757,0.0
-885.0,-519.615242271,0.0
90.0,129.903810568,0.0
840.0,216.506350946,0.0
840.0,389.711431703,0.0
-660.0,43.3012701892,0.0
390.0,476.313972081,0.0
390.0,-995.929214352,0.0
-660.0,736.121593217,0.0
-210.0,649.519052838,0.0
-535.0,866.025403784,0.0
-285.0,-866.025403784,0.0
-10.0,-389.711431703,0.0
-460.0,-43.3012701892,0.0
590.0,-822.724133595,0.0
-210.0,-909.326673974,0.0
165.0,692.820323028,0.0
615.0,346.410161514,0.0
65.0,-692.820323028,0.0
765.0,-519.615242271,0.0
-810.0,-649.519052838,0.0
-285.0,-952.627944163,0.0
840.0,-736.121593217,0.0
-285.0,606.217782649,0.0
215.0,-86.6025403784,0.0
-735.0,-606.217782649,0.0
890.0,-129.903810568,0.0
615.0,-259.807621135,0.0
90.0,-649.519052838,0.0
690.0,-909.326673974,0.0
-835.0,-779.422863406,0.0
165.0,519.615242271,0.0
-885.0,519.615242271,0.0
890.0,995.929214352,0.0
165.0,346.410161514,0.0
240.0,822.724133595,0.0
990.0,-822.724133595,0.0
-310.0,-562.91651246,0.0
515.0,-433.012701892,0.0
-985.0,519.615242271,0.0
990.0,-129.903810568,0.0
-610.0,909.326673974,0.0
365.0,433.012701892,0.0
65.0,-433.012701892,0.0
-610.0,562.91651246,0.0
65.0,606.217782649,0.0
390.0,303.108891325,0.0
-435.0,779.422863406,0.0
-135.0,-259.807621135,0.0
215.0,-86.6025403784,0.0
-460.0,129.903810568,0.0
-460.0,736.121593217,0.0
165.0,519.615242271,0.0
-385.0,-692.820323028,0.0
-310.0,-43.3012701892,0.0
-810.0,736.121593217,0.0
65.0,-866.025403784,0.0
-60.0,562.91651246,0.0
615.0,692.820323028,0.0
-685.0,692.820323028,0.0
440.0,562.91651246,0.0
-510.0,-303.108891325,0.0
390.0,822.724133595,0.0
-235.0,952.627944163,0.0
-10.0,-216.506350946,0.0
165.0,7.958e-13,0.0
-160.0,736.121593217,0.0
690.0,649.519052838,0.0
240.0,649.519052838,0.0
990.0,-649.519052838,0.0
-160.0,216.506350946,0.0
-735.0,-86.6025403784,0.0
-910.0,-736.121593217,0.0
-285.0,433.012701892,0.0
965.0,173.205080757,0.0
140.0,822.724133595,0.0
-135.0,952.627944163,0.0
15.0,779.422863406,0.0
440.0,-822.724133595,0.0
-235.0,-173.205080757,0.0
-135.0,173.205080757,0.0
-510.0,303.108891325,0.0
440.0,303.108891325,0.0
-610.0,736.121593217,0.0
15.0,-519.615242271,0.0
