"x","y","node_label","node"
0,0.5,1,"(0, 0)"
-1.73,0.5,2,"(0, 2)"
-3.46,0.5,3,"(0, 4)"
-5.2,0.5,4,"(0, 6)"
-6.93,0.5,5,"(0, 8)"
-8.66,0.5,6,"(0, 10)"
-10.39,0.5,7,"(0, 12)"
-12.12,0.5,8,"(0, 14)"
-13.86,0.5,9,"(0, 16)"
-15.59,0.5,10,"(0, 18)"
-17.32,0.5,11,"(0, 20)"
-19.05,0.5,12,"(0, 22)"
-20.78,0.5,13,"(0, 24)"
-22.52,0.5,14,"(0, 26)"
-24.25,0.5,15,"(0, 28)"
-25.98,0.5,16,"(0, 30)"
-27.71,0.5,17,"(0, 32)"
-29.44,0.5,18,"(0, 34)"
-31.18,0.5,19,"(0, 36)"
-32.91,0.5,20,"(0, 38)"
-34.64,0.5,21,"(0, 40)"
-36.37,0.5,22,"(0, 42)"
-38.11,0.5,23,"(0, 44)"
0,1.5,24,"(1, 0)"
-0.87,2,25,"(1, 1)"
-1.73,1.5,26,"(1, 2)"
-2.6,2,27,"(1, 3)"
-3.46,1.5,28,"(1, 4)"
-4.33,2,29,"(1, 5)"
-5.2,1.5,30,"(1, 6)"
-6.06,2,31,"(1, 7)"
-6.93,1.5,32,"(1, 8)"
-7.79,2,33,"(1, 9)"
-8.66,1.5,34,"(1, 10)"
-9.53,2,35,"(1, 11)"
-10.39,1.5,36,"(1, 12)"
-11.26,2,37,"(1, 13)"
-12.12,1.5,38,"(1, 14)"
-12.99,2,39,"(1, 15)"
-13.86,1.5,40,"(1, 16)"
-14.72,2,41,"(1, 17)"
-15.59,1.5,42,"(1, 18)"
-16.45,2,43,"(1, 19)"
-17.32,1.5,44,"(1, 20)"
-18.19,2,45,"(1, 21)"
-19.05,1.5,46,"(1, 22)"
-19.92,2,47,"(1, 23)"
-20.78,1.5,48,"(1, 24)"
-21.65,2,49,"(1, 25)"
-22.52,1.5,50,"(1, 26)"
-23.38,2,51,"(1, 27)"
-24.25,1.5,52,"(1, 28)"
-25.11,2,53,"(1, 29)"
-25.98,1.5,54,"(1, 30)"
-26.85,2,55,"(1, 31)"
-27.71,1.5,56,"(1, 32)"
-28.58,2,57,"(1, 33)"
-29.44,1.5,58,"(1, 34)"
-30.31,2,59,"(1, 35)"
-31.18,1.5,60,"(1, 36)"
-32.04,2,61,"(1, 37)"
-32.91,1.5,62,"(1, 38)"
-33.77,2,63,"(1, 39)"
-34.64,1.5,64,"(1, 40)"
-35.51,2,65,"(1, 41)"
-36.37,1.5,66,"(1, 42)"
-37.24,2,67,"(1, 43)"
