"x","y","node"
24.0700000000001,40,1
24.0700000000001,90,2
24.0700000000001,190,3
24.0700000000001,240,4
24.0700000000001,340,5
24.0700000000001,390,6
24.0700000000001,490,7
24.0700000000001,540,8
24.0700000000001,640,9
24.0700000000001,690,10
24.0700000000001,790,11
24.0700000000001,840,12
24.0700000000001,940,13
24.0700000000001,990,14
24.0700000000001,1090,15
24.0700000000001,1140,16
24.0700000000001,1240,17
24.0700000000001,1290,18
24.0700000000001,1390,19
24.0700000000001,1440,20
24.0700000000001,1540,21
24.0700000000001,1590,22
24.0700000000001,1690,23
24.0700000000001,1740,24
24.0700000000001,1840,25
24.0700000000001,1890,26
67.37,15,27
67.37,115,28
67.37,165,29
67.37,265,30
67.37,315,31
67.37,415,32
67.37,465,33
67.37,565,34
67.37,615,35
67.37,715,36
67.37,765,37
67.37,865,38
67.37,915,39
67.37,1015,40
67.37,1065,41
67.37,1165,42
67.37,1215,43
67.37,1315,44
67.37,1365,45
67.37,1465,46
67.37,1515,47
67.37,1615,48
67.37,1665,49
67.37,1765,50
67.37,1815,51
67.37,1915,52
67.37,1965,53
110.67,40,54
110.67,90,55
110.67,190,56
110.67,240,57
110.67,340,58
110.67,390,59
110.67,490,60
110.67,540,61
110.67,640,62
110.67,690,63
110.67,790,64
110.67,840,65
110.67,940,66
110.67,990,67
110.67,1090,68
110.67,1140,69
110.67,1240,70
110.67,1290,71
110.67,1390,72
110.67,1440,73
110.67,1540,74
110.67,1590,75
110.67,1690,76
110.67,1740,77
110.67,1840,78
110.67,1890,79
110.67,1990,80
153.97,15,81
153.97,115,82
153.97,165,83
153.97,265,84
153.97,315,85
153.97,415,86
153.97,465,87
153.97,565,88
153.97,615,89
153.97,715,90
153.97,765,91
153.97,865,92
153.97,915,93
153.97,1015,94
153.97,1065,95
153.97,1165,96
153.97,1215,97
153.97,1315,98
153.97,1365,99
153.97,1465,100
153.97,1515,101
153.97,1615,102
153.97,1665,103
153.97,1765,104
153.97,1815,105
153.97,1915,106
153.97,1965,107
197.28,40,108
197.28,90,109
197.28,190,110
197.28,240,111
197.28,340,112
197.28,390,113
197.28,490,114
197.28,540,115
197.28,640,116
197.28,690,117
197.28,790,118
197.28,840,119
197.28,940,120
197.28,990,121
197.28,1090,122
197.28,1140,123
197.28,1240,124
197.28,1290,125
197.28,1390,126
197.28,1440,127
197.28,1540,128
197.28,1590,129
197.28,1690,130
197.28,1740,131
197.28,1840,132
197.28,1890,133
197.28,1990,134
240.58,15,135
240.58,115,136
240.58,165,137
240.58,265,138
240.58,315,139
240.58,415,140
240.58,465,141
240.58,565,142
240.58,615,143
240.58,715,144
240.58,765,145
240.58,865,146
240.58,915,147
240.58,1015,148
240.58,1065,149
240.58,1165,150
240.58,1215,151
240.58,1315,152
240.58,1365,153
240.58,1465,154
240.58,1515,155
240.58,1615,156
240.58,1665,157
240.58,1765,158
240.58,1815,159
240.58,1915,160
240.58,1965,161
283.88,40,162
283.88,90,163
283.88,190,164
283.88,240,165
283.88,340,166
283.88,390,167
283.88,490,168
283.88,540,169
283.88,640,170
283.88,690,171
283.88,790,172
283.88,840,173
283.88,940,174
283.88,990,175
283.88,1090,176
283.88,1140,177
283.88,1240,178
283.88,1290,179
283.88,1390,180
283.88,1440,181
283.88,1540,182
283.88,1590,183
283.88,1690,184
283.88,1740,185
283.88,1840,186
283.88,1890,187
283.88,1990,188
327.18,15,189
327.18,115,190
327.18,165,191
327.18,265,192
327.18,315,193
327.18,415,194
327.18,465,195
327.18,565,196
327.18,615,197
327.18,715,198
327.18,765,199
327.18,865,200
327.18,915,201
327.18,1015,202
327.18,1065,203
327.18,1165,204
327.18,1215,205
327.18,1315,206
327.18,1365,207
327.18,1465,208
327.18,1515,209
327.18,1615,210
327.18,1665,211
327.18,1765,212
327.18,1815,213
327.18,1915,214
327.18,1965,215
370.48,40,216
370.48,90,217
370.48,190,218
370.48,240,219
370.48,340,220
370.48,390,221
370.48,490,222
370.48,540,223
370.48,640,224
370.48,690,225
370.48,790,226
370.48,840,227
370.48,940,228
370.48,990,229
370.48,1090,230
370.48,1140,231
370.48,1240,232
370.48,1290,233
370.48,1390,234
370.48,1440,235
370.48,1540,236
370.48,1590,237
370.48,1690,238
370.48,1740,239
370.48,1840,240
370.48,1890,241
370.48,1990,242
413.78,15,243
413.78,115,244
413.78,165,245
413.78,265,246
413.78,315,247
413.78,415,248
413.78,465,249
413.78,565,250
413.78,615,251
413.78,715,252
413.78,765,253
413.78,865,254
413.78,915,255
413.78,1015,256
413.78,1065,257
413.78,1165,258
413.78,1215,259
413.78,1315,260
413.78,1365,261
413.78,1465,262
413.78,1515,263
413.78,1615,264
413.78,1665,265
413.78,1765,266
413.78,1815,267
413.78,1915,268
413.78,1965,269
457.08,40,270
457.08,90,271
457.08,190,272
457.08,240,273
457.08,340,274
457.08,390,275
457.08,490,276
457.08,540,277
457.08,640,278
457.08,690,279
457.08,790,280
457.08,840,281
457.08,940,282
457.08,990,283
457.08,1090,284
457.08,1140,285
457.08,1240,286
457.08,1290,287
