x,y,node
0.0,0.5,"(0, 0)"
-1.73,0.5,"(0, 2)"
-3.46,0.5,"(0, 4)"
-5.2,0.5,"(0, 6)"
-6.93,0.5,"(0, 8)"
-8.66,0.5,"(0, 10)"
-10.39,0.5,"(0, 12)"
-12.12,0.5,"(0, 14)"
-13.86,0.5,"(0, 16)"
-15.59,0.5,"(0, 18)"
-17.32,0.5,"(0, 20)"
-19.05,0.5,"(0, 22)"
-20.78,0.5,"(0, 24)"
-22.52,0.5,"(0, 26)"
-24.25,0.5,"(0, 28)"
-25.98,0.5,"(0, 30)"
-27.71,0.5,"(0, 32)"
-29.44,0.5,"(0, 34)"
-31.18,0.5,"(0, 36)"
-32.91,0.5,"(0, 38)"
-34.64,0.5,"(0, 40)"
-36.37,0.5,"(0, 42)"
-38.11,0.5,"(0, 44)"
0.0,1.5,"(1, 0)"
-0.87,2.0,"(1, 1)"
-1.73,1.5,"(1, 2)"
-2.6,2.0,"(1, 3)"
-3.46,1.5,"(1, 4)"
-4.33,2.0,"(1, 5)"
-5.2,1.5,"(1, 6)"
-6.06,2.0,"(1, 7)"
-6.93,1.5,"(1, 8)"
-7.79,2.0,"(1, 9)"
-8.66,1.5,"(1, 10)"
-9.53,2.0,"(1, 11)"
-10.39,1.5,"(1, 12)"
-11.26,2.0,"(1, 13)"
-12.12,1.5,"(1, 14)"
-12.99,2.0,"(1, 15)"
-13.86,1.5,"(1, 16)"
-14.72,2.0,"(1, 17)"
-15.59,1.5,"(1, 18)"
-16.45,2.0,"(1, 19)"
-17.32,1.5,"(1, 20)"
-18.19,2.0,"(1, 21)"
-19.05,1.5,"(1, 22)"
-19.92,2.0,"(1, 23)"
-20.78,1.5,"(1, 24)"
-21.65,2.0,"(1, 25)"
-22.52,1.5,"(1, 26)"
-23.38,2.0,"(1, 27)"
-24.25,1.5,"(1, 28)"
-25.11,2.0,"(1, 29)"
-25.98,1.5,"(1, 30)"
-26.85,2.0,"(1, 31)"
-27.71,1.5,"(1, 32)"
-28.58,2.0,"(1, 33)"
-29.44,1.5,"(1, 34)"
-30.31,2.0,"(1, 35)"
-31.18,1.5,"(1, 36)"
-32.04,2.0,"(1, 37)"
-32.91,1.5,"(1, 38)"
-33.77,2.0,"(1, 39)"
-34.64,1.5,"(1, 40)"
-35.51,2.0,"(1, 41)"
-36.37,1.5,"(1, 42)"
-37.24,2.0,"(1, 43)"
-38.11,1.5,"(1, 44)"
-38.97,2.0,"(1, 45)"
0.0,3.5,"(2, 0)"
-0.87,3.0,"(2, 1)"
-1.73,3.5,"(2, 2)"
-2.6,3.0,"(2, 3)"
-3.46,3.5,"(2, 4)"
-4.33,3.0,"(2, 5)"
-5.2,3.5,"(2, 6)"
-6.06,3.0,"(2, 7)"
-6.93,3.5,"(2, 8)"
-7.79,3.0,"(2, 9)"
-8.66,3.5,"(2, 10)"
-9.53,3.0,"(2, 11)"
-10.39,3.5,"(2, 12)"
-11.26,3.0,"(2, 13)"
-12.12,3.5,"(2, 14)"
-12.99,3.0,"(2, 15)"
-13.86,3.5,"(2, 16)"
-14.72,3.0,"(2, 17)"
-15.59,3.5,"(2, 18)"
-16.45,3.0,"(2, 19)"
-17.32,3.5,"(2, 20)"
-18.19,3.0,"(2, 21)"
-19.05,3.5,"(2, 22)"
-19.92,3.0,"(2, 23)"
-20.78,3.5,"(2, 24)"
-21.65,3.0,"(2, 25)"
-22.52,3.5,"(2, 26)"
-23.38,3.0,"(2, 27)"
-24.25,3.5,"(2, 28)"
-25.11,3.0,"(2, 29)"
-25.98,3.5,"(2, 30)"
-26.85,3.0,"(2, 31)"
-27.71,3.5,"(2, 32)"
-28.58,3.0,"(2, 33)"
-29.44,3.5,"(2, 34)"
-30.31,3.0,"(2, 35)"
-31.18,3.5,"(2, 36)"
-32.04,3.0,"(2, 37)"
-32.91,3.5,"(2, 38)"
-33.77,3.0,"(2, 39)"
-34.64,3.5,"(2, 40)"
-35.51,3.0,"(2, 41)"
-36.37,3.5,"(2, 42)"
-37.24,3.0,"(2, 43)"
-38.11,3.5,"(2, 44)"
-38.97,3.0,"(2, 45)"
0.0,4.5,"(3, 0)"
-0.87,5.0,"(3, 1)"
-1.73,4.5,"(3, 2)"
-2.6,5.0,"(3, 3)"
-3.46,4.5,"(3, 4)"
-4.33,5.0,"(3, 5)"
-5.2,4.5,"(3, 6)"
-6.06,5.0,"(3, 7)"
-6.93,4.5,"(3, 8)"
-7.79,5.0,"(3, 9)"
-8.66,4.5,"(3, 10)"
-9.53,5.0,"(3, 11)"
-10.39,4.5,"(3, 12)"
-11.26,5.0,"(3, 13)"
-12.12,4.5,"(3, 14)"
-12.99,5.0,"(3, 15)"
-13.86,4.5,"(3, 16)"
-14.72,5.0,"(3, 17)"
-15.59,4.5,"(3, 18)"
-16.45,5.0,"(3, 19)"
-17.32,4.5,"(3, 20)"
-18.19,5.0,"(3, 21)"
-19.05,4.5,"(3, 22)"
-19.92,5.0,"(3, 23)"
-20.78,4.5,"(3, 24)"
